Time[s], SD_DIN, SD_DOUT, SD_NCS, SD_CLK
0.000489600, 1, 0, 0, 1
0.000489680, 1, 1, 0, 1
0.000489760, 1, 0, 0, 1
0.000490320, 1, 1, 0, 1
0.000490560, 1, 0, 0, 1
0.000490720, 1, 1, 0, 1
0.000491040, 1, 0, 0, 1
0.000491120, 1, 1, 0, 1
0.000491200, 1, 0, 0, 1
0.000491280, 1, 1, 0, 1
0.000491360, 1, 0, 0, 1
0.000491840, 1, 1, 0, 1
0.000491920, 1, 0, 0, 1
0.000492240, 1, 1, 0, 1
0.000492320, 1, 0, 0, 1
0.000492480, 1, 1, 0, 1
0.000492560, 1, 0, 0, 1
0.000492800, 1, 1, 0, 1
0.000492880, 1, 0, 0, 1
0.000493200, 1, 1, 0, 1
0.000493280, 1, 0, 0, 1
